,Director(s),Star(s),Votes,Gross,Language(s),Country_of_origin,Production_companies,Poster_image,Release_date,Title,Imdb_rating,Duration,Genre,Summary,MPA_rating
0, Chloé Zhao ,"[' Gemma Chan', ' Richard Madden', ' Angelina Jolie', ' Salma Hayek']"," 190,050",,"['English', 'American Sign Language', 'Marathi', 'Spanish', 'Sumerian', 'Latin', 'Greek, Ancient (to 1453)']",['United States'],['Marvel Studios'],https://m.media-amazon.com/images/M/MV5BYzVjYThmNDAtOTE1NC00YjQ2LTk4NWYtNTc4Yzc4OTRhYjllXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,2021-11-05,Eternals,['6.6'],['156 min'],"['Action, Adventure, Fantasy']","['The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.']",
1, Jon Watts ,"[' Tom Holland', ' Zendaya', ' Benedict Cumberbatch', ' Jacob Batalon']"," 393,870",,['English'],['United States'],"['Columbia Pictures', 'Pascal Pictures', 'Marvel Studios']",https://m.media-amazon.com/images/M/MV5BZWMyYzFjYTYtNTRjYi00OGExLWE2YzgtOGRmYjAxZTU3NzBiXkEyXkFqcGdeQXVyMzQ0MzA0NTM@._V1_.jpg,2021-12-17,Spider-Man: No Way Home,['8.7'],['148 min'],"['Action, Adventure, Fantasy']","[""With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.""]",
2, Adam McKay ,"[' Leonardo DiCaprio', ' Jennifer Lawrence', ' Meryl Streep', ' Cate Blanchett']"," 356,678",,['English'],['United States'],"['Hyperobject Industries', 'Province of British Columbia Production Services Tax Credit', 'Bluegrass Films']",https://m.media-amazon.com/images/M/MV5BNjZjNDE1NTYtYTgwZS00M2VmLWEyODktM2FlNjhiYTk3OGU2XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,2021-12-24,Don't Look Up,['7.3'],['138 min'],"['Comedy, Drama, Sci-Fi']",['Two low-level astronomers must go on a giant media tour to warn mankind of an approaching comet that will destroy planet Earth.'],
3,"[' Jared Bush', ' Byron Howard', ' Charise Castro Smith ']","[' Stephanie Beatriz', ' María Cecilia Botero', ' John Leguizamo', ' Mauro Castillo']"," 95,296",,"['English', 'Spanish']",['United States'],"['Walt Disney Animation Studios', 'Walt Disney Pictures']",https://m.media-amazon.com/images/M/MV5BNjE5NzA4ZDctOTJkZi00NzM0LTkwOTYtMDI4MmNkMzIxODhkXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_.jpg,2021-11-24,Encanto,['7.3'],['102 min'],"['Animation, Comedy, Drama']",['A young Colombian girl has to face the frustration of being the only member of her family without magical powers.'],
4, Garth Jennings ,"[' Matthew McConaughey', ' Reese Witherspoon', ' Scarlett Johansson', ' Tori Kelly']"," 18,076",,['English'],['United States'],"['Illumination Entertainment', 'Universal Pictures']",https://m.media-amazon.com/images/M/MV5BMWRiZGQ1NDMtODQ2OS00MDlhLWJkZGYtM2ZmNjlhZThjOWRmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,2021-12-22,Sing 2,['7.6'],['110 min'],"['Animation, Adventure, Comedy']",['Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.'],
5, Jason Reitman ,"[' Carrie Coon', ' Paul Rudd', ' Finn Wolfhard', ' Mckenna Grace']"," 87,064",,['English'],"['United States', 'Canada']","['Columbia Pictures', 'BRON Studios', 'Ghostcorps']",https://m.media-amazon.com/images/M/MV5BMmZiMjdlN2UtYzdiZS00YjgxLTgyZGMtYzE4ZGU5NTlkNjhhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,2021-11-19,Ghostbusters: Afterlife,['7.3'],['124 min'],"['Adventure, Comedy, Fantasy']","['When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.']",
6, Lana Wachowski ,"[' Keanu Reeves', ' Carrie-Anne Moss', ' Yahya Abdul-Mateen II', ' Jonathan Groff']"," 165,139",,"['English', 'French', 'Spanish', 'Japanese']",['United States'],"['Warner Bros.', 'Village Roadshow Pictures', 'Venus Castina Productions']",https://m.media-amazon.com/images/M/MV5BMGJkNDJlZWUtOGM1Ny00YjNkLThiM2QtY2ZjMzQxMTIxNWNmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,2021-12-22,The Matrix Resurrections,['5.7'],['148 min'],"['Action, Sci-Fi']","['Return to a world of two realities: one, everyday life; the other, what lies behind it. To find out if his reality is a construct, to truly know himself, Mr. Anderson will have to choose to follow the white rabbit once more.']",
7, Jane Campion ,"[' Benedict Cumberbatch', ' Kirsten Dunst', ' Jesse Plemons', ' Kodi Smit-McPhee']"," 78,816",,['English'],"['United Kingdom', 'Canada', 'Australia', 'New Zealand']","['See-Saw Films', 'Brightstar', 'Max Films International']",https://m.media-amazon.com/images/M/MV5BZGRhYjE2NWUtN2FkNy00NGI3LTkxYWMtMDk4Yjg5ZjI3MWI2XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,2021-12-01,The Power of the Dog,['7.0'],['126 min'],"['Drama, Romance, Western']","['Charismatic rancher Phil Burbank inspires fear and awe in those around him. When his brother brings home a new wife and her son, Phil torments them until he finds himself exposed to the possibility of love.']",
8, George Clooney ,"[' Ben Affleck', ' Tye Sheridan', ' Daniel Ranieri', ' Lily Rabe']"," 11,254",,['English'],['United States'],"['Big Indie Pictures', 'Smokehouse Pictures']",https://m.media-amazon.com/images/M/MV5BMjM2MjhmYmYtN2Q2MS00NGMwLWJmOTEtMmU1MjljNzllZmNkXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_.jpg,2022-01-07,The Tender Bar,['6.8'],['106 min'],['Drama'],"[""A boy growing up on Long Island seeks out father figures among the patrons at his uncle's bar.""]",
9, Maggie Gyllenhaal ,"[' Olivia Colman', ' Jessie Buckley', ' Dakota Johnson', ' Ed Harris']"," 28,742",,"['English', 'Italian', 'Greek']","['Greece', 'United Kingdom', 'Israel', 'United States']","['Endeavor Content', 'Samuel Marshall Productions', 'Pie Films']",https://m.media-amazon.com/images/M/MV5BZTJmYTJmYTktMzU1Yy00ZTZlLTgzNjItYmY4ZDFjZGFjYjZhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,2021-12-31,The Lost Daughter,['6.8'],['121 min'],['Drama'],"[""A woman's beach vacation takes a dark turn when she begins to confront the troubles of her past.""]",
10, Paul Thomas Anderson ,"[' Alana Haim', ' Cooper Hoffman', ' Sean Penn', ' Tom Waits']"," 16,122",,"['Japanese', 'English']","['United States', 'Canada']","['BRON Studios', 'Focus Features', 'Ghoulardi Film Company']",https://m.media-amazon.com/images/M/MV5BZTgxMWJkMzItMzg1YS00NDJiLTljYjctMTc2YzQzZDZjZDAyXkEyXkFqcGdeQXVyODQ2OTIzNDU@._V1_.jpg,2021-12-25,Licorice Pizza,['8.0'],['133 min'],"['Comedy, Drama, Romance']","['The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973.']",
11, Mattson Tomlin ,"[' Chloë Grace Moretz', ' Algee Smith', ' Raúl Castillo', ' Linnea Gardner']"," 12,154",,['English'],['United States'],"['6th & Idaho Productions', 'Miramax']",https://m.media-amazon.com/images/M/MV5BYzEzZTM2YjMtNzhmOS00OTU3LWFkODYtZTNjYzUwMGUyNzEzXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_.jpg,2021-12-17,Mother/Android,['4.8'],['110 min'],"['Drama, Sci-Fi, Thriller']","['In a post-apocalyptic world rocked by a violent android uprising, a young pregnant woman and her boyfriend desperately search for safety.']",
12, Matthew Vaughn ,"[' Ralph Fiennes', ' Gemma Arterton', ' Rhys Ifans', ' Harris Dickinson']"," 21,206",,['English'],"['United Kingdom', 'United States']","['20th Century Studios', 'Marv Films', 'Marv Studios']",https://m.media-amazon.com/images/M/MV5BMDEzZDY2ZDktNTlmOS00NThjLThkNTEtMjE5MzI5NWEwZmRjXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_.jpg,2021-12-22,The King's Man,['6.8'],['131 min'],"['Action, Adventure, Thriller']","['In the early years of the 20th century, the Kingsman agency is formed to stand against a cabal plotting a war to wipe out millions.']",
13, Denis Villeneuve ,"[' Timothée Chalamet', ' Rebecca Ferguson', ' Zendaya', ' Oscar Isaac']"," 448,152",,"['English', 'Mandarin']","['United States', 'Canada']","['Warner Bros.', 'Legendary Entertainment', 'Villeneuve Films']",https://m.media-amazon.com/images/M/MV5BN2FjNmEyNWMtYzM0ZS00NjIyLTg5YzYtYThlMGVjNzE1OGViXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,2021-10-22,Dune,['8.1'],['155 min'],"['Action, Adventure, Drama']","[""Feature adaptation of Frank Herbert's science fiction novel about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.""]",
14, Ninja Thyberg ,"[' Sofia Kappel', ' Zelda Morrison', ' Evelyn Claire', ' Chris Cock']"," 2,952",,"['English', 'Swedish']","['Sweden', 'Netherlands', 'France']","['Plattform Produktion', 'Film i Väst', 'Sveriges Television (SVT)']",https://m.media-amazon.com/images/M/MV5BMDUzMmIwYWMtMjNjOS00NGNkLThkY2MtOGNlOTY1ZWVkYjRkXkEyXkFqcGdeQXVyNjczMzgwMDg@._V1_.jpg,2021-10-08,Pleasure,['6.5'],['109 min'],['Drama'],"[""Bella Cherry arrives in Los Angeles with dreams of becoming an adult film star, but she soon learns that fame won't come easy as she harnesses her ambition and cunning to rise to the top of this mesmerizing and singular world.""]",
15, Joel Coen ,"[' Denzel Washington', ' Frances McDormand', ' Alex Hassell', ' Bertie Carvel']"," 9,340",,['English'],['United States'],"['A24', 'IAC Films']",https://m.media-amazon.com/images/M/MV5BMzM0YWNmMDEtNmI3Yy00NjQ4LWJlZjMtMzk2YjUxOThhZGQxXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,2022-01-14,The Tragedy of Macbeth,['7.4'],['105 min'],"['Drama, History, Thriller']","['A Scottish lord becomes convinced by a trio of witches that he will become the next King of Scotland, and his ambitious wife supports him in his plans of seizing power.']",
